"method","rho_est","fpr","K","rep"
"Fisher",0.00739778359836341,0.0493,2,1
"Brown",0.00739778359836341,0.0493,2,1
"Stouffer",0.00739778359836341,0.0513,2,1
"DPM",0.00739778359836341,0.0301,2,1
"ORBIT_P",0.00739778359836341,0.0521,2,1
"Fisher",0.00379295586772703,0.0498,3,1
"Brown",0.00379295586772703,0.0498,3,1
"Stouffer",0.00379295586772703,0.0531,3,1
"DPM",0.00379295586772703,0.0189,3,1
"ORBIT_P",0.00379295586772703,0.0526,3,1
"Fisher",-0.00324519431766963,0.0468,4,1
"Brown",-0.00324519431766963,0.0468,4,1
"Stouffer",-0.00324519431766963,0.0508,4,1
"DPM",-0.00324519431766963,0.0102,4,1
"ORBIT_P",-0.00324519431766963,0.0509,4,1
"Fisher",-0.00276541303021996,0.0513,5,1
"Brown",-0.00276541303021996,0.0513,5,1
"Stouffer",-0.00276541303021996,0.0486,5,1
"DPM",-0.00276541303021996,0.0077,5,1
"ORBIT_P",-0.00276541303021996,0.0499,5,1
"Fisher",-0.00495845317347791,0.0498,6,1
"Brown",-0.00495845317347791,0.0498,6,1
"Stouffer",-0.00495845317347791,0.0478,6,1
"DPM",-0.00495845317347791,0.0041,6,1
"ORBIT_P",-0.00495845317347791,0.0486,6,1
"Fisher",-0.0021847625463682,0.0504,7,1
"Brown",-0.0021847625463682,0.0504,7,1
"Stouffer",-0.0021847625463682,0.0492,7,1
"DPM",-0.0021847625463682,0.0031,7,1
"ORBIT_P",-0.0021847625463682,0.0497,7,1
"Fisher",-0.00241256942270845,0.0511,8,1
"Brown",-0.00241256942270845,0.0511,8,1
"Stouffer",-0.00241256942270845,0.0495,8,1
"DPM",-0.00241256942270845,0.0022,8,1
"ORBIT_P",-0.00241256942270845,0.0488,8,1
"Fisher",-0.00145477598157346,0.052,9,1
"Brown",-0.00145477598157346,0.052,9,1
"Stouffer",-0.00145477598157346,0.0468,9,1
"DPM",-0.00145477598157346,0.0017,9,1
"ORBIT_P",-0.00145477598157346,0.0488,9,1
"Fisher",-0.000221357030376708,0.0519,10,1
"Brown",-0.000221357030376708,0.0519,10,1
"Stouffer",-0.000221357030376708,0.0509,10,1
"DPM",-0.000221357030376708,0.0012,10,1
"ORBIT_P",-0.000221357030376708,0.0517,10,1
"Fisher",-0.000827310745094469,0.0498,11,1
"Brown",-0.000827310745094469,0.0498,11,1
"Stouffer",-0.000827310745094469,0.0502,11,1
"DPM",-0.000827310745094469,6e-04,11,1
"ORBIT_P",-0.000827310745094469,0.0488,11,1
"Fisher",0.00100824531984126,0.0508,12,1
"Brown",0.00100824531984126,0.0508,12,1
