"method","rho_est","fpr","na_rate","rep"
"Fisher",0.00739778359836341,0.0493,0,1
"Brown",0.00739778359836341,0.0493,0,1
"Stouffer",0.00739778359836341,0.0513,0,1
"DPM",0.00739778359836341,0.0301,0,1
"ORBIT_P",0.00739778359836341,0.0521,0,1
"Fisher",0.00677694409417855,0.0484,0.1,1
"Brown",0.00677694409417855,0.0452,0.1,1
"Stouffer",0.00677694409417855,0.0476,0.1,1
"DPM",0.00677694409417855,0.0285,0.1,1
"ORBIT_P",0.00677694409417855,0.0514,0.1,1
"Fisher",0.00596792309511801,0.0482,0.2,1
"Brown",0.00596792309511801,0.0418,0.2,1
"Stouffer",0.00596792309511801,0.0427,0.2,1
"DPM",0.00596792309511801,0.0263,0.2,1
"ORBIT_P",0.00596792309511801,0.0502,0.2,1
"Fisher",0.00411150730453712,0.0482,0.3,1
"Brown",0.00411150730453712,0.0379,0.3,1
"Stouffer",0.00411150730453712,0.0378,0.3,1
"DPM",0.00411150730453712,0.0242,0.3,1
"ORBIT_P",0.00411150730453712,0.0496,0.3,1
"Fisher",0.00870333956061605,0.0495,0.4,1
"Brown",0.00870333956061605,0.0332,0.4,1
"Stouffer",0.00870333956061605,0.0326,0.4,1
"DPM",0.00870333956061605,0.0222,0.4,1
"ORBIT_P",0.00870333956061605,0.0508,0.4,1
"Fisher",0.00544323469840297,0.0494,0.5,1
"Brown",0.00544323469840297,0.0293,0.5,1
"Stouffer",0.00544323469840297,0.0283,0.5,1
"DPM",0.00544323469840297,0.0202,0.5,1
"ORBIT_P",0.00544323469840297,0.051,0.5,1
"Fisher",0.0124370694054283,0.0497,0.6,1
"Brown",0.0124370694054283,0.026,0.6,1
"Stouffer",0.0124370694054283,0.0242,0.6,1
"DPM",0.0124370694054283,0.0185,0.6,1
"ORBIT_P",0.0124370694054283,0.0503,0.6,1
"Fisher",-0.000446584818706868,0.048,0.7,1
"Brown",-0.000446584818706868,0.0204,0.7,1
"Stouffer",-0.000446584818706868,0.0186,0.7,1
"DPM",-0.000446584818706868,0.0151,0.7,1
"ORBIT_P",-0.000446584818706868,0.0496,0.7,1
"Fisher",0.00510619553194474,0.0475,0.8,1
"Brown",0.00510619553194474,0.0162,0.8,1
"Stouffer",0.00510619553194474,0.0137,0.8,1
"DPM",0.00510619553194474,0.0126,0.8,1
"ORBIT_P",0.00510619553194474,0.0481,0.8,1
"Fisher",0.0241053164615576,0.0469,0.9,1
"Brown",0.0241053164615576,0.0116,0.9,1
"Stouffer",0.0241053164615576,0.0096,0.9,1
"DPM",0.0241053164615576,0.0101,0.9,1
"ORBIT_P",0.0241053164615576,0.0471,0.9,1
"Fisher",0.0121039352520962,0.0558,0,2
"Brown",0.0121039352520962,0.0558,0,2
"Stouffer",0.0121039352520962,0.0541,0,2
"DPM",0.0121039352520962,0.0339,0,2
"ORBIT_P",0.0121039352520962,0.0538,0,2
"Fisher",0.0149331545759629,0.0543,0.1,2
"Brown",0.0149331545759629,0.0512,0.1,2
"Stouffer",0.0149331545759629,0.0497,0.1,2
"DPM",0.0149331545759629,0.0316,0.1,2
"ORBIT_P",0.0149331545759629,0.0523,0.1,2
"Fisher",0.011297324218114,0.0534,0.2,2
"Brown",0.011297324218114,0.0472,0.2,2
"Stouffer",0.011297324218114,0.0449,0.2,2
"DPM",0.011297324218114,0.0297,0.2,2
"ORBIT_P",0.011297324218114,0.0512,0.2,2
"Fisher",0.0142039921422827,0.0533,0.3,2
"Brown",0.0142039921422827,0.0424,0.3,2
"Stouffer",0.0142039921422827,0.0399,0.3,2
"DPM",0.0142039921422827,0.0274,0.3,2
"ORBIT_P",0.0142039921422827,0.0511,0.3,2
"Fisher",0.0105598722456654,0.0525,0.4,2
"Brown",0.0105598722456654,0.0378,0.4,2
"Stouffer",0.0105598722456654,0.0349,0.4,2
"DPM",0.0105598722456654,0.025,0.4,2
"ORBIT_P",0.0105598722456654,0.0514,0.4,2
"Fisher",0.0130027207689049,0.0514,0.5,2
"Brown",0.0130027207689049,0.0332,0.5,2
"Stouffer",0.0130027207689049,0.0307,0.5,2
"DPM",0.0130027207689049,0.0223,0.5,2
"ORBIT_P",0.0130027207689049,0.0508,0.5,2
"Fisher",-0.00221345688875415,0.0508,0.6,2
"Brown",-0.00221345688875415,0.0286,0.6,2
"Stouffer",-0.00221345688875415,0.0251,0.6,2
"DPM",-0.00221345688875415,0.0199,0.6,2
"ORBIT_P",-0.00221345688875415,0.0501,0.6,2
"Fisher",-0.0070376518378482,0.0506,0.7,2
"Brown",-0.0070376518378482,0.0239,0.7,2
"Stouffer",-0.0070376518378482,0.0204,0.7,2
"DPM",-0.0070376518378482,0.0175,0.7,2
"ORBIT_P",-0.0070376518378482,0.0499,0.7,2
"Fisher",-0.0240776641927817,0.0508,0.8,2
"Brown",-0.0240776641927817,0.0199,0.8,2
"Stouffer",-0.0240776641927817,0.0153,0.8,2
"DPM",-0.0240776641927817,0.0154,0.8,2
"ORBIT_P",-0.0240776641927817,0.0494,0.8,2
"Fisher",-0.0440933355473851,0.0514,0.9,2
"Brown",-0.0440933355473851,0.0157,0.9,2
"Stouffer",-0.0440933355473851,0.0113,0.9,2
"DPM",-0.0440933355473851,0.0131,0.9,2
"ORBIT_P",-0.0440933355473851,0.0499,0.9,2
"Fisher",-0.0108067987856722,0.0508,0,3
"Brown",-0.0108067987856722,0.0508,0,3
"Stouffer",-0.0108067987856722,0.0487,0,3
"DPM",-0.0108067987856722,0.0282,0,3
"ORBIT_P",-0.0108067987856722,0.0491,0,3
"Fisher",-0.0125273797579775,0.051,0.1,3
"Brown",-0.0125273797579775,0.0456,0.1,3
"Stouffer",-0.0125273797579775,0.0439,0.1,3
"DPM",-0.0125273797579775,0.0255,0.1,3
"ORBIT_P",-0.0125273797579775,0.0497,0.1,3
"Fisher",-0.0200554705858572,0.051,0.2,3
"Brown",-0.0200554705858572,0.0418,0.2,3
"Stouffer",-0.0200554705858572,0.04,0.2,3
"DPM",-0.0200554705858572,0.0235,0.2,3
"ORBIT_P",-0.0200554705858572,0.0492,0.2,3
"Fisher",-0.0266627477959479,0.0515,0.3,3
"Brown",-0.0266627477959479,0.038,0.3,3
"Stouffer",-0.0266627477959479,0.0351,0.3,3
"DPM",-0.0266627477959479,0.0216,0.3,3
"ORBIT_P",-0.0266627477959479,0.0489,0.3,3
"Fisher",-0.022994171250213,0.0516,0.4,3
"Brown",-0.022994171250213,0.0334,0.4,3
"Stouffer",-0.022994171250213,0.0316,0.4,3
"DPM",-0.022994171250213,0.02,0.4,3
"ORBIT_P",-0.022994171250213,0.0499,0.4,3
"Fisher",-0.0232881121740181,0.0514,0.5,3
"Brown",-0.0232881121740181,0.0288,0.5,3
"Stouffer",-0.0232881121740181,0.027,0.5,3
"DPM",-0.0232881121740181,0.0182,0.5,3
"ORBIT_P",-0.0232881121740181,0.0494,0.5,3
"Fisher",-0.0313358194536444,0.0515,0.6,3
"Brown",-0.0313358194536444,0.0253,0.6,3
"Stouffer",-0.0313358194536444,0.0225,0.6,3
"DPM",-0.0313358194536444,0.0163,0.6,3
"ORBIT_P",-0.0313358194536444,0.0486,0.6,3
"Fisher",-0.0344362130715715,0.0518,0.7,3
"Brown",-0.0344362130715715,0.0208,0.7,3
"Stouffer",-0.0344362130715715,0.0179,0.7,3
"DPM",-0.0344362130715715,0.0144,0.7,3
"ORBIT_P",-0.0344362130715715,0.0498,0.7,3
"Fisher",-0.0480217506141284,0.0524,0.8,3
"Brown",-0.0480217506141284,0.017,0.8,3
"Stouffer",-0.0480217506141284,0.014,0.8,3
"DPM",-0.0480217506141284,0.0121,0.8,3
"ORBIT_P",-0.0480217506141284,0.0505,0.8,3
"Fisher",-0.0546081846080847,0.0529,0.9,3
"Brown",-0.0546081846080847,0.0132,0.9,3
"Stouffer",-0.0546081846080847,0.0102,0.9,3
"DPM",-0.0546081846080847,0.0102,0.9,3
"ORBIT_P",-0.0546081846080847,0.0518,0.9,3
"Fisher",-0.0126420827257949,0.0483,0,4
"Brown",-0.0126420827257949,0.0483,0,4
"Stouffer",-0.0126420827257949,0.0485,0,4
"DPM",-0.0126420827257949,0.0276,0,4
"ORBIT_P",-0.0126420827257949,0.048,0,4
"Fisher",-0.00541839766350652,0.0477,0.1,4
"Brown",-0.00541839766350652,0.0438,0.1,4
"Stouffer",-0.00541839766350652,0.0447,0.1,4
"DPM",-0.00541839766350652,0.026,0.1,4
"ORBIT_P",-0.00541839766350652,0.0486,0.1,4
"Fisher",-0.0091189865376994,0.0484,0.2,4
"Brown",-0.0091189865376994,0.0402,0.2,4
"Stouffer",-0.0091189865376994,0.0399,0.2,4
"DPM",-0.0091189865376994,0.0245,0.2,4
"ORBIT_P",-0.0091189865376994,0.0491,0.2,4
"Fisher",-0.00985519477882912,0.0496,0.3,4
"Brown",-0.00985519477882912,0.0369,0.3,4
"Stouffer",-0.00985519477882912,0.035,0.3,4
"DPM",-0.00985519477882912,0.0227,0.3,4
"ORBIT_P",-0.00985519477882912,0.0495,0.3,4
"Fisher",-0.00356173532525982,0.0506,0.4,4
"Brown",-0.00356173532525982,0.0321,0.4,4
"Stouffer",-0.00356173532525982,0.0309,0.4,4
"DPM",-0.00356173532525982,0.0203,0.4,4
"ORBIT_P",-0.00356173532525982,0.0507,0.4,4
"Fisher",-0.00831283017612485,0.05,0.5,4
"Brown",-0.00831283017612485,0.028,0.5,4
"Stouffer",-0.00831283017612485,0.0266,0.5,4
"DPM",-0.00831283017612485,0.018,0.5,4
"ORBIT_P",-0.00831283017612485,0.0503,0.5,4
"Fisher",0.00139828917301023,0.0506,0.6,4
"Brown",0.00139828917301023,0.0238,0.6,4
"Stouffer",0.00139828917301023,0.0228,0.6,4
"DPM",0.00139828917301023,0.0162,0.6,4
"ORBIT_P",0.00139828917301023,0.051,0.6,4
"Fisher",-0.0131552978507577,0.0522,0.7,4
"Brown",-0.0131552978507577,0.0205,0.7,4
"Stouffer",-0.0131552978507577,0.0179,0.7,4
"DPM",-0.0131552978507577,0.0137,0.7,4
"ORBIT_P",-0.0131552978507577,0.0512,0.7,4
"Fisher",-0.00904386889799392,0.0525,0.8,4
"Brown",-0.00904386889799392,0.0171,0.8,4
"Stouffer",-0.00904386889799392,0.0139,0.8,4
"DPM",-0.00904386889799392,0.0125,0.8,4
"ORBIT_P",-0.00904386889799392,0.0517,0.8,4
"Fisher",-0.0183860336034938,0.0536,0.9,4
"Brown",-0.0183860336034938,0.0137,0.9,4
"Stouffer",-0.0183860336034938,0.0105,0.9,4
"DPM",-0.0183860336034938,0.0109,0.9,4
"ORBIT_P",-0.0183860336034938,0.0526,0.9,4
"Fisher",-0.0104270230887995,0.0528,0,5
"Brown",-0.0104270230887995,0.0528,0,5
"Stouffer",-0.0104270230887995,0.0501,0,5
"DPM",-0.0104270230887995,0.0307,0,5
"ORBIT_P",-0.0104270230887995,0.0527,0,5
"Fisher",-0.0146250440010538,0.0539,0.1,5
"Brown",-0.0146250440010538,0.0491,0.1,5
"Stouffer",-0.0146250440010538,0.0456,0.1,5
"DPM",-0.0146250440010538,0.0288,0.1,5
"ORBIT_P",-0.0146250440010538,0.0532,0.1,5
"Fisher",-0.0134063441110452,0.0526,0.2,5
"Brown",-0.0134063441110452,0.0439,0.2,5
"Stouffer",-0.0134063441110452,0.0401,0.2,5
"DPM",-0.0134063441110452,0.0259,0.2,5
"ORBIT_P",-0.0134063441110452,0.052,0.2,5
"Fisher",-0.0160406825747722,0.0521,0.3,5
"Brown",-0.0160406825747722,0.0394,0.3,5
"Stouffer",-0.0160406825747722,0.0362,0.3,5
"DPM",-0.0160406825747722,0.0235,0.3,5
"ORBIT_P",-0.0160406825747722,0.0525,0.3,5
"Fisher",-0.0147757652906837,0.0521,0.4,5
"Brown",-0.0147757652906837,0.0346,0.4,5
"Stouffer",-0.0147757652906837,0.0313,0.4,5
"DPM",-0.0147757652906837,0.0216,0.4,5
"ORBIT_P",-0.0147757652906837,0.0525,0.4,5
"Fisher",-0.00983721823721733,0.0525,0.5,5
"Brown",-0.00983721823721733,0.0316,0.5,5
"Stouffer",-0.00983721823721733,0.028,0.5,5
"DPM",-0.00983721823721733,0.0201,0.5,5
"ORBIT_P",-0.00983721823721733,0.0528,0.5,5
"Fisher",-0.0214108929238898,0.0519,0.6,5
"Brown",-0.0214108929238898,0.0264,0.6,5
"Stouffer",-0.0214108929238898,0.0221,0.6,5
"DPM",-0.0214108929238898,0.0168,0.6,5
"ORBIT_P",-0.0214108929238898,0.0517,0.6,5
"Fisher",-0.0207984878702304,0.0519,0.7,5
"Brown",-0.0207984878702304,0.0221,0.7,5
"Stouffer",-0.0207984878702304,0.0176,0.7,5
"DPM",-0.0207984878702304,0.0148,0.7,5
"ORBIT_P",-0.0207984878702304,0.0521,0.7,5
"Fisher",-0.0300646991784346,0.0513,0.8,5
