"method","rho_est","fpr","rho","rep"
"Fisher",0.00739778359836341,0.0493,0,1
"Brown",0.00739778359836341,0.0493,0,1
"Stouffer",0.00739778359836341,0.0513,0,1
"DPM",0.00739778359836341,0.0301,0,1
"ORBIT_P",0.00739778359836341,0.0521,0,1
"Fisher",0.104954802661368,0.0507,0.1,1
"Brown",0.104954802661368,0.0507,0.1,1
"Stouffer",0.104954802661368,0.0636,0.1,1
"DPM",0.104954802661368,0.037,0.1,1
"ORBIT_P",0.104954802661368,0.0509,0.1,1
"Fisher",0.20326774822897,0.0535,0.2,1
"Brown",0.20326774822897,0.0506,0.2,1
"Stouffer",0.20326774822897,0.0757,0.2,1
"DPM",0.20326774822897,0.0429,0.2,1
"ORBIT_P",0.20326774822897,0.0509,0.2,1
"Fisher",0.301675567481754,0.0568,0.3,1
"Brown",0.301675567481754,0.0513,0.3,1
"Stouffer",0.301675567481754,0.0878,0.3,1
"DPM",0.301675567481754,0.0466,0.3,1
"ORBIT_P",0.301675567481754,0.0516,0.3,1
"Fisher",0.400530180756044,0.062,0.4,1
"Brown",0.400530180756044,0.0525,0.4,1
"Stouffer",0.400530180756044,0.0989,0.4,1
"DPM",0.400530180756044,0.0509,0.4,1
"ORBIT_P",0.400530180756044,0.0521,0.4,1
"Fisher",0.500931212269863,0.0659,0.5,1
"Brown",0.500931212269863,0.0535,0.5,1
"Stouffer",0.500931212269863,0.1119,0.5,1
"DPM",0.500931212269863,0.0524,0.5,1
"ORBIT_P",0.500931212269863,0.0523,0.5,1
"Fisher",0.601321860727018,0.0717,0.6,1
"Brown",0.601321860727018,0.0536,0.6,1
"Stouffer",0.601321860727018,0.123,0.6,1
"DPM",0.601321860727018,0.0535,0.6,1
"ORBIT_P",0.601321860727018,0.0528,0.6,1
"Fisher",0.701125763810648,0.0776,0.7,1
"Brown",0.701125763810648,0.0558,0.7,1
"Stouffer",0.701125763810648,0.1353,0.7,1
"DPM",0.701125763810648,0.0558,0.7,1
"ORBIT_P",0.701125763810648,0.0543,0.7,1
"Fisher",0.80088692288357,0.0843,0.8,1
"Brown",0.80088692288357,0.0571,0.8,1
"Stouffer",0.80088692288357,0.1458,0.8,1
"DPM",0.80088692288357,0.0571,0.8,1
"ORBIT_P",0.80088692288357,0.0558,0.8,1
"Fisher",0.900321463047078,0.0909,0.9,1
"Brown",0.900321463047078,0.0574,0.9,1
"Stouffer",0.900321463047078,0.159,0.9,1
"DPM",0.900321463047078,0.0574,0.9,1
"ORBIT_P",0.900321463047078,0.0567,0.9,1
"Fisher",0.0121039352520962,0.0558,0,2
"Brown",0.0121039352520962,0.0558,0,2
"Stouffer",0.0121039352520962,0.0541,0,2
"DPM",0.0121039352520962,0.0339,0,2
"ORBIT_P",0.0121039352520962,0.0538,0,2
"Fisher",0.106378753783977,0.0557,0.1,2
"Brown",0.106378753783977,0.0556,0.1,2
"Stouffer",0.106378753783977,0.0644,0.1,2
"DPM",0.106378753783977,0.0401,0.1,2
"ORBIT_P",0.106378753783977,0.0538,0.1,2
"Fisher",0.200562417331141,0.056,0.2,2
"Brown",0.200562417331141,0.0545,0.2,2
"Stouffer",0.200562417331141,0.078,0.2,2
"DPM",0.200562417331141,0.0442,0.2,2
"ORBIT_P",0.200562417331141,0.053,0.2,2
"Fisher",0.295103122102928,0.0583,0.3,2
"Brown",0.295103122102928,0.0526,0.3,2
"Stouffer",0.295103122102928,0.0908,0.3,2
"DPM",0.295103122102928,0.0468,0.3,2
"ORBIT_P",0.295103122102928,0.0524,0.3,2
"Fisher",0.390334726015455,0.0607,0.4,2
"Brown",0.390334726015455,0.0521,0.4,2
"Stouffer",0.390334726015455,0.1045,0.4,2
"DPM",0.390334726015455,0.0497,0.4,2
"ORBIT_P",0.390334726015455,0.0511,0.4,2
"Fisher",0.486605516078558,0.0656,0.5,2
"Brown",0.486605516078558,0.0517,0.5,2
"Stouffer",0.486605516078558,0.114,0.5,2
"DPM",0.486605516078558,0.0511,0.5,2
"ORBIT_P",0.486605516078558,0.051,0.5,2
"Fisher",0.584366867159458,0.0715,0.6,2
"Brown",0.584366867159458,0.0536,0.6,2
"Stouffer",0.584366867159458,0.1239,0.6,2
"DPM",0.584366867159458,0.0536,0.6,2
"ORBIT_P",0.584366867159458,0.0515,0.6,2
"Fisher",0.68455876570763,0.0784,0.7,2
"Brown",0.68455876570763,0.0529,0.7,2
"Stouffer",0.68455876570763,0.1356,0.7,2
"DPM",0.68455876570763,0.0529,0.7,2
"ORBIT_P",0.68455876570763,0.051,0.7,2
"Fisher",0.786544866498563,0.0803,0.8,2
"Brown",0.786544866498563,0.0526,0.8,2
"Stouffer",0.786544866498563,0.147,0.8,2
"DPM",0.786544866498563,0.0526,0.8,2
"ORBIT_P",0.786544866498563,0.0504,0.8,2
"Fisher",0.891959109046265,0.0876,0.9,2
"Brown",0.891959109046265,0.0523,0.9,2
"Stouffer",0.891959109046265,0.1557,0.9,2
"DPM",0.891959109046265,0.0523,0.9,2
"ORBIT_P",0.891959109046265,0.0518,0.9,2
"Fisher",-0.0108067987856722,0.0508,0,3
"Brown",-0.0108067987856722,0.0508,0,3
"Stouffer",-0.0108067987856722,0.0487,0,3
"DPM",-0.0108067987856722,0.0282,0,3
"ORBIT_P",-0.0108067987856722,0.0491,0,3
"Fisher",0.0841015867171903,0.0511,0.1,3
"Brown",0.0841015867171903,0.0511,0.1,3
"Stouffer",0.0841015867171903,0.0615,0.1,3
"DPM",0.0841015867171903,0.0344,0.1,3
"ORBIT_P",0.0841015867171903,0.0496,0.1,3
"Fisher",0.179190701417616,0.0512,0.2,3
"Brown",0.179190701417616,0.0497,0.2,3
"Stouffer",0.179190701417616,0.0749,0.2,3
"DPM",0.179190701417616,0.0391,0.2,3
"ORBIT_P",0.179190701417616,0.0484,0.2,3
"Fisher",0.275783142273475,0.0524,0.3,3
"Brown",0.275783142273475,0.0485,0.3,3
"Stouffer",0.275783142273475,0.0877,0.3,3
"DPM",0.275783142273475,0.0428,0.3,3
"ORBIT_P",0.275783142273475,0.0484,0.3,3
"Fisher",0.372833314624354,0.0564,0.4,3
"Brown",0.372833314624354,0.0499,0.4,3
"Stouffer",0.372833314624354,0.1007,0.4,3
"DPM",0.372833314624354,0.0474,0.4,3
"ORBIT_P",0.372833314624354,0.0491,0.4,3
"Fisher",0.471795305488368,0.0633,0.5,3
"Brown",0.471795305488368,0.0505,0.5,3
"Stouffer",0.471795305488368,0.1133,0.5,3
"DPM",0.471795305488368,0.0496,0.5,3
"ORBIT_P",0.471795305488368,0.0496,0.5,3
"Fisher",0.573068582177294,0.0691,0.6,3
"Brown",0.573068582177294,0.0502,0.6,3
"Stouffer",0.573068582177294,0.1256,0.6,3
"DPM",0.573068582177294,0.05,0.6,3
"ORBIT_P",0.573068582177294,0.0486,0.6,3
"Fisher",0.676470857665132,0.0756,0.7,3
"Brown",0.676470857665132,0.0515,0.7,3
"Stouffer",0.676470857665132,0.1383,0.7,3
"DPM",0.676470857665132,0.0515,0.7,3
"ORBIT_P",0.676470857665132,0.0493,0.7,3
"Fisher",0.781843605968654,0.0818,0.8,3
"Brown",0.781843605968654,0.0511,0.8,3
"Stouffer",0.781843605968654,0.1479,0.8,3
"DPM",0.781843605968654,0.0511,0.8,3
"ORBIT_P",0.781843605968654,0.0494,0.8,3
"Fisher",0.88967992414217,0.0875,0.9,3
"Brown",0.88967992414217,0.0507,0.9,3
"Stouffer",0.88967992414217,0.1592,0.9,3
"DPM",0.88967992414217,0.0507,0.9,3
"ORBIT_P",0.88967992414217,0.0494,0.9,3
"Fisher",-0.0126420827257949,0.0483,0,4
"Brown",-0.0126420827257949,0.0483,0,4
"Stouffer",-0.0126420827257949,0.0485,0,4
"DPM",-0.0126420827257949,0.0276,0,4
"ORBIT_P",-0.0126420827257949,0.048,0,4
"Fisher",0.0820226063518382,0.0491,0.1,4
"Brown",0.0820226063518382,0.0491,0.1,4
"Stouffer",0.0820226063518382,0.0607,0.1,4
"DPM",0.0820226063518382,0.0331,0.1,4
"ORBIT_P",0.0820226063518382,0.0477,0.1,4
"Fisher",0.177931735771085,0.0507,0.2,4
"Brown",0.177931735771085,0.049,0.2,4
"Stouffer",0.177931735771085,0.0746,0.2,4
"DPM",0.177931735771085,0.0384,0.2,4
"ORBIT_P",0.177931735771085,0.0476,0.2,4
"Fisher",0.275332016316929,0.0526,0.3,4
"Brown",0.275332016316929,0.0472,0.3,4
"Stouffer",0.275332016316929,0.0876,0.3,4
"DPM",0.275332016316929,0.041,0.3,4
"ORBIT_P",0.275332016316929,0.0473,0.3,4
"Fisher",0.374296421622731,0.056,0.4,4
"Brown",0.374296421622731,0.0473,0.4,4
"Stouffer",0.374296421622731,0.0983,0.4,4
"DPM",0.374296421622731,0.0442,0.4,4
"ORBIT_P",0.374296421622731,0.0465,0.4,4
"Fisher",0.474634753730403,0.0607,0.5,4
"Brown",0.474634753730403,0.0476,0.5,4
"Stouffer",0.474634753730403,0.1102,0.5,4
"DPM",0.474634753730403,0.0469,0.5,4
"ORBIT_P",0.474634753730403,0.0471,0.5,4
"Fisher",0.576698872358886,0.0681,0.6,4
"Brown",0.576698872358886,0.0481,0.6,4
"Stouffer",0.576698872358886,0.1193,0.6,4
"DPM",0.576698872358886,0.0479,0.6,4
"ORBIT_P",0.576698872358886,0.0469,0.6,4
"Fisher",0.68067308756799,0.0724,0.7,4
"Brown",0.68067308756799,0.0492,0.7,4
"Stouffer",0.68067308756799,0.1296,0.7,4
"DPM",0.68067308756799,0.0492,0.7,4
"ORBIT_P",0.68067308756799,0.0478,0.7,4
"Fisher",0.785735338233629,0.0775,0.8,4
"Brown",0.785735338233629,0.0498,0.8,4
"Stouffer",0.785735338233629,0.1412,0.8,4
"DPM",0.785735338233629,0.0498,0.8,4
"ORBIT_P",0.785735338233629,0.0484,0.8,4
"Fisher",0.891896021249712,0.0839,0.9,4
"Brown",0.891896021249712,0.0493,0.9,4
"Stouffer",0.891896021249712,0.154,0.9,4
"DPM",0.891896021249712,0.0493,0.9,4
"ORBIT_P",0.891896021249712,0.0479,0.9,4
"Fisher",-0.0104270230887995,0.0528,0,5
"Brown",-0.0104270230887995,0.0528,0,5
"Stouffer",-0.0104270230887995,0.0501,0,5
"DPM",-0.0104270230887995,0.0307,0,5
"ORBIT_P",-0.0104270230887995,0.0527,0,5
"Fisher",0.0856695763573693,0.0532,0.1,5
"Brown",0.0856695763573693,0.0532,0.1,5
"Stouffer",0.0856695763573693,0.0613,0.1,5
"DPM",0.0856695763573693,0.0372,0.1,5
"ORBIT_P",0.0856695763573693,0.0532,0.1,5
"Fisher",0.182434301415942,0.0549,0.2,5
"Brown",0.182434301415942,0.054,0.2,5
"Stouffer",0.182434301415942,0.0744,0.2,5
"DPM",0.182434301415942,0.0434,0.2,5
"ORBIT_P",0.182434301415942,0.0522,0.2,5
"Fisher",0.279802480552411,0.0579,0.3,5
"Brown",0.279802480552411,0.0532,0.3,5
"Stouffer",0.279802480552411,0.0873,0.3,5
"DPM",0.279802480552411,0.0476,0.3,5
"ORBIT_P",0.279802480552411,0.0529,0.3,5
"Fisher",0.378618335455213,0.0623,0.4,5
"Brown",0.378618335455213,0.0535,0.4,5
"Stouffer",0.378618335455213,0.0995,0.4,5
"DPM",0.378618335455213,0.0513,0.4,5
"ORBIT_P",0.378618335455213,0.0532,0.4,5
"Fisher",0.47916628824982,0.0665,0.5,5
"Brown",0.47916628824982,0.0543,0.5,5
"Stouffer",0.47916628824982,0.1112,0.5,5
"DPM",0.47916628824982,0.0537,0.5,5
"ORBIT_P",0.47916628824982,0.0535,0.5,5
"Fisher",0.581459082749035,0.0715,0.6,5
"Brown",0.581459082749035,0.0555,0.6,5
"Stouffer",0.581459082749035,0.1222,0.6,5
"DPM",0.581459082749035,0.0554,0.6,5
"ORBIT_P",0.581459082749035,0.0539,0.6,5
"Fisher",0.685218132484903,0.0788,0.7,5
"Brown",0.685218132484903,0.056,0.7,5
"Stouffer",0.685218132484903,0.1332,0.7,5
"DPM",0.685218132484903,0.056,0.7,5
"ORBIT_P",0.685218132484903,0.0541,0.7,5
"Fisher",0.790069559040078,0.0847,0.8,5
"Brown",0.790069559040078,0.0555,0.8,5
"Stouffer",0.790069559040078,0.1452,0.8,5
"DPM",0.790069559040078,0.0555,0.8,5
"ORBIT_P",0.790069559040078,0.0538,0.8,5
"Fisher",0.895070132014137,0.0898,0.9,5
"Brown",0.895070132014137,0.0561,0.9,5
"Stouffer",0.895070132014137,0.1558,0.9,5
"DPM",0.895070132014137,0.0561,0.9,5
"ORBIT_P",0.895070132014137,0.0548,0.9,5
"Fisher",-0.00831711331719482,0.0487,0,6
"Brown",-0.00831711331719482,0.0486,0,6
"Stouffer",-0.00831711331719482,0.0502,0,6
"DPM",-0.00831711331719482,0.0276,0,6
