"method","K","signal_prop","rho_est","power","fdp","rep"
"DPM",2,0.05,NA,0.67578947368421,0.0213414634146341,1
"ORBIT_P",2,0.05,0.000752382688543717,0.72,0.05,1
"DPM",3,0.05,NA,0.816842105263158,0.0102040816326531,1
"ORBIT_P",3,0.05,0.00712196010171065,0.867368421052632,0.0506912442396313,1
"DPM",4,0.05,NA,0.869473684210526,0.00959232613908873,1
"ORBIT_P",4,0.05,0.00350141465959818,0.92,0.0437636761487965,1
"DPM",5,0.05,NA,0.886315789473684,0.0117370892018779,1
"ORBIT_P",5,0.05,0.000475881969355137,0.934736842105263,0.0533049040511727,1
"DPM",6,0.05,NA,0.901052631578947,0.00925925925925926,1
"ORBIT_P",6,0.05,-0.000414941754613314,0.945263157894737,0.048728813559322,1
"DPM",7,0.05,NA,0.909473684210526,0.00460829493087558,1
"ORBIT_P",7,0.05,-0.00123945080623851,0.95578947368421,0.046218487394958,1
"DPM",8,0.05,NA,0.928421052631579,0.00226244343891403,1
"ORBIT_P",8,0.05,-0.00259211691173195,0.96,0.05,1
"DPM",9,0.05,NA,0.92421052631579,0.00227272727272727,1
"ORBIT_P",9,0.05,-0.00237048780384484,0.974736842105263,0.0492813141683778,1
"DPM",10,0.05,NA,0.930526315789474,0,1
"ORBIT_P",10,0.05,-0.0024053665436629,0.970526315789474,0.0435684647302905,1
"DPM",11,0.05,NA,0.934736842105263,0,1
"ORBIT_P",11,0.05,-0.00206054714292789,0.962105263157895,0.0399159663865546,1
"DPM",12,0.05,NA,0.917894736842105,0,1
"ORBIT_P",12,0.05,-0.00206713416636185,0.974736842105263,0.045360824742268,1
"DPM",13,0.05,NA,0.936842105263158,0,1
"ORBIT_P",13,0.05,-0.00201524840420459,0.96421052631579,0.0317124735729387,1
"DPM",14,0.05,NA,0.947368421052632,0,1
"ORBIT_P",14,0.05,-0.00160679548132399,0.987368421052632,0.0486815415821501,1
"DPM",15,0.05,NA,0.95578947368421,0,1
"ORBIT_P",15,0.05,-0.00152277705620207,0.978947368421053,0.0567951318458418,1
"DPM",16,0.05,NA,0.953684210526316,0,1
"ORBIT_P",16,0.05,-0.000979970930155919,0.976842105263158,0.0530612244897959,1
"DPM",17,0.05,NA,0.945263157894737,0,1
"ORBIT_P",17,0.05,-0.00137579180953841,0.987368421052632,0.0525252525252525,1
"DPM",18,0.05,NA,0.96,0,1
